"ID","Navigation","Business","Catalogues","Travel","Books","PhotoVideo","Lifestyle","Entertainment","Finance","News","Health","Games","Food","Education","Medical","SocialNetworking","Reference","Sports","Utilities","Weather","Productivity","Music","Other"
"92",NA,NA,NA,NA,NA,"1",NA,"1",NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,"1",NA,"1",NA
"93","1",NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,"1","1","1",NA,NA,"1","1","1","1","1","1",NA
"94",NA,NA,NA,"1","1",NA,NA,NA,NA,"1","1",NA,"1","1",NA,NA,NA,NA,"1","1","1",NA,NA
"95",NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,"1",NA,NA,"1",NA,"1","1",NA
"96",NA,"1",NA,NA,"1",NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA
"97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","1",NA,NA,"1","1","1",NA,NA,NA,NA,NA,"1","1","1",NA,NA,NA,NA,"1",NA,"1","1",NA
"99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA
"101",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"102",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,NA,NA
"103","1",NA,NA,"1",NA,"1",NA,NA,"1","1","1","1",NA,NA,NA,"1","1","1","1","1","1","1",NA
"104","1",NA,NA,NA,NA,NA,"1",NA,NA,"1","1","1","1",NA,NA,NA,NA,"1",NA,"1",NA,NA,NA
"105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA
"107","1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1",NA,NA,NA,"1",NA,NA,"1","1","1",NA,NA
"109","1","1",NA,NA,"1","1",NA,NA,NA,NA,NA,NA,"1","1",NA,"1",NA,NA,"1","1","1",NA,NA
"110","1",NA,NA,"1","1","1","1",NA,NA,"1",NA,"1",NA,"1",NA,"1",NA,NA,"1","1","1",NA,NA
"111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1","1",NA,NA,NA,NA
"112","1","1",NA,"1","1","1","1","1",NA,"1",NA,"1","1","1","1","1",NA,NA,"1","1","1","1",NA
"113","1","1",NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,"1","1","1",NA,NA
"114",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,"1",NA
"115","1","1",NA,NA,"1","1",NA,NA,"1",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,NA
"116",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,NA,NA
"117","1","1",NA,NA,"1","1",NA,"1",NA,"1","1","1",NA,"1",NA,"1",NA,NA,"1","1","1","1",NA
"118",NA,NA,NA,"1","1",NA,"1",NA,NA,NA,NA,"1",NA,"1",NA,"1",NA,NA,"1",NA,"1",NA,NA
"119","1","1","1","1","1","1","1","1","1","1",NA,"1",NA,"1",NA,"1","1",NA,"1","1","1","1",NA
"120","1","1",NA,NA,NA,"1","1",NA,"1","1","1","1","1","1",NA,"1",NA,NA,"1","1","1",NA,NA
"121",NA,"1",NA,"1","1","1","1",NA,NA,"1","1","1",NA,NA,NA,"1",NA,"1","1","1","1",NA,NA
"122",NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","1",NA,"1",NA,"1",NA,NA,"1",NA,NA,"1",NA
"123","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA
"124",NA,NA,NA,NA,NA,"1",NA,"1",NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA
"125",NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,"1",NA,NA,NA,NA
"126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA
"127",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,NA,"1","1",NA,NA,"1",NA,NA,NA,NA
"128",NA,"1",NA,NA,NA,"1","1","1",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129",NA,NA,NA,"1",NA,"1",NA,NA,NA,"1",NA,"1",NA,NA,NA,"1",NA,NA,"1",NA,NA,NA,NA
"130","1","1",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA
"131",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","1",NA,NA,"1",NA,NA,NA,NA,"1","1",NA,NA,NA,NA,NA,"1",NA,"1","1",NA,"1",NA,NA
"133","1",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,NA,"1",NA,"1",NA,NA
"134",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1","1",NA,NA,NA
"135","1","1",NA,"1","1","1",NA,NA,"1","1","1","1","1","1",NA,"1","1",NA,"1","1","1","1",NA
"136",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"137",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,NA
"138",NA,"1",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,"1","1",NA
"139",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
"140","1","1",NA,NA,"1","1",NA,NA,NA,"1",NA,"1","1","1",NA,"1",NA,NA,"1","1","1","1",NA
"141",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
