"ID","AppStore","PriceSensitive","WhyDownload","Gender","Age","Nationality","Education","YearsEdu","Occupation","Currency","HH.Income"
"824","Android",NA,NA,"Female","38","Spanish","4","14","Other","EUR","3"
"825","Other",NA,NA,"Male","17","Chinese","2","7","Food Prep & Srv","CNY","1"
"826","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"827",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"828",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"829",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"830","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"831","Windows","Yes",NA,"Male","55","Italian","3","15","Comp & Math","EUR","6"
"832","iOS","Yes",NA,"Female","75","French","2","12","Off & Admin Sup","EUR","4"
"833","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"834","Blackberry","Yes","nsp","Female","53","French","5","18","Edu, Trng & Lib","EUR","4"
"835","Android",NA,NA,"Male","27","Spanish","2","11","Biz & Fin Ops","EUR","2"
"836",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"837","Android",NA,NA,"Female","18","Australian","2","13","Edu, Trng & Lib","AUD","1"
"838",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"839","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"840",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"841","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"842","iOS","Yes",NA,"Female","35","French","6","18","Arch & Eng","EUR","Prefer not to say"
"843","Not sure",NA,NA,"Female","50","Russian","3","17","Prsn Care & Svcs","RUB","1"
"844","Android",NA,NA,"Female","54","German","6","20","Biz & Fin Ops","EUR","8"
"845","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"846","iOS",NA,"Fruit ninja","Female","19","Italian","3","16","Arts, Entmt & Sports","EUR","Prefer not to say"
"847","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"848","Samsung","Yes",NA,"Male","18","Spanish","2","13","Food Prep & Srv","EUR","Prefer not to say"
"849",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"850","Nokia","Yes","what's up","Male","22","Indian","6","4","Inst, Maint & Repair","INR","6"
"851","Android","Yes",NA,"Male","20","Spanish","4","17","Bldg & Grnd Clng","EUR","Prefer not to say"
"852","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"853",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"854","Android",NA,"<U+C544><U+C2A4><U+D314><U+D2B8>","Male","18","SouthKorean","2","18","Student","KRW","1"
"855","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"856","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"857","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"858",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"859","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"860","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"861",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"862","Not sure",NA,"<U+306A><U+3057>","Male","67","Japanese","5","16","Arts, Entmt & Sports","JPY","6"
"863","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"864",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"865","Android","Yes",NA,"Female","20","Spanish","5","18","Protective Svcs","EUR","Prefer not to say"
"866","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"867","iOS","Yes",NA,"Female","61","British","6","16","Edu, Trng & Lib","GBP","8"
"868","iOS",NA,"<U+6124><U+6012><U+7684><U+5C0F><U+9E1F>","Male","17","Chinese","2","11","Student","CNY","1"
"869","Samsung","Yes","aucune","Female","50","French","3","20","Prsn Care & Svcs","EUR","4"
"870","Android","Yes",NA,"Female","49","Australian","2","10","Biz & Fin Ops","AUD","7"
"871",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"872","Android","Yes","nothing","Male","19","Indian","5","13","Arch & Eng","INR","5"
"873",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"874","iOS",NA,NA,"Female","53","Australian","5","16","Edu, Trng & Lib","AUD","Prefer not to say"
"875","Android","Yes",NA,"Female","45","French","3","15","Off & Admin Sup","EUR","4"
"876","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"877",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
